,coef,std err,z,P>|z|,[0.025,0.975],pvalue_raw,features,iter,allele,HLA_typing,pval_Holm,nlog10_Pval
16,0.6116,0.224,2.731,0.006,0.173,1.051,0.00632299531502039,Negative,17,DPA1*02:02,HLA-HD,1.0,-0.0
17,0.3835,0.229,1.677,0.094,-0.065,0.832,0.09357403849106499,Negative,18,DPA1*02:02,HLA-HD,1.0,-0.0
18,0.5267,0.241,2.188,0.029,0.055,0.999,0.02867502304204993,Negative,19,DPA1*02:02,HLA-HD,1.0,-0.0
19,0.6903,0.232,2.978,0.003,0.236,1.145,0.0028987335862405332,Negative,20,DPA1*02:02,HLA-HD,1.0,-0.0
20,0.7801,0.242,3.228,0.001,0.306,1.254,0.0012447646617342152,Negative,21,DPA1*02:02,HLA-HD,1.0,-0.0
21,0.3836,0.235,1.636,0.102,-0.076,0.843,0.1019424518495428,Negative,22,DPA1*02:02,HLA-HD,1.0,-0.0
22,0.5626,0.238,2.359,0.018,0.095,1.03,0.01831454824319643,Negative,23,DPA1*02:02,HLA-HD,1.0,-0.0
23,0.3986,0.233,1.71,0.087,-0.058,0.855,0.08719715399007281,Negative,24,DPA1*02:02,HLA-HD,1.0,-0.0
24,0.7833,0.238,3.287,0.001,0.316,1.25,0.0010118693637425368,Negative,25,DPA1*02:02,HLA-HD,1.0,-0.0
25,0.3965,0.247,1.603,0.109,-0.088,0.881,0.10900167746382342,Negative,26,DPA1*02:02,HLA-HD,1.0,-0.0
26,0.2301,0.229,1.004,0.315,-0.219,0.679,0.31537249821571656,Negative,27,DPA1*02:02,HLA-HD,1.0,-0.0
27,0.5069,0.249,2.034,0.042,0.019,0.995,0.04191606743620079,Negative,28,DPA1*02:02,HLA-HD,1.0,-0.0
28,0.1352,0.226,0.597,0.55,-0.308,0.579,0.5503294497795475,Negative,29,DPA1*02:02,HLA-HD,1.0,-0.0
29,0.4091,0.232,1.764,0.078,-0.045,0.864,0.07765339649515587,Negative,30,DPA1*02:02,HLA-HD,1.0,-0.0
30,0.4572,0.237,1.932,0.053,-0.007,0.921,0.05333191920108717,Negative,31,DPA1*02:02,HLA-HD,1.0,-0.0
31,0.3432,0.229,1.502,0.133,-0.105,0.791,0.13319281785432582,Negative,32,DPA1*02:02,HLA-HD,1.0,-0.0
32,0.0667,0.223,0.299,0.765,-0.37,0.503,0.7645669063313796,Negative,33,DPA1*02:02,HLA-HD,1.0,-0.0
33,0.2211,0.22,1.006,0.314,-0.21,0.652,0.31433606291568694,Negative,34,DPA1*02:02,HLA-HD,1.0,-0.0
34,0.3,0.228,1.313,0.189,-0.148,0.748,0.18910379182094894,Negative,35,DPA1*02:02,HLA-HD,1.0,-0.0
35,0.4259,0.242,1.763,0.078,-0.048,0.899,0.07795389545061236,Negative,36,DPA1*02:02,HLA-HD,1.0,-0.0
36,0.1752,0.238,0.737,0.461,-0.291,0.641,0.460936991375979,Negative,37,DPA1*02:02,HLA-HD,1.0,-0.0
37,0.4594,0.23,1.999,0.046,0.009,0.91,0.045643500867505994,Negative,38,DPA1*02:02,HLA-HD,1.0,-0.0
38,0.487,0.224,2.171,0.03,0.047,0.927,0.02989534004890365,Negative,39,DPA1*02:02,HLA-HD,1.0,-0.0
39,0.3769,0.221,1.706,0.088,-0.056,0.81,0.08809694072078046,Negative,40,DPA1*02:02,HLA-HD,1.0,-0.0
40,0.8071,0.229,3.531,0.0,0.359,1.255,0.00041352206885627294,Negative,41,DPA1*02:02,HLA-HD,1.0,-0.0
41,0.7176,0.254,2.827,0.005,0.22,1.215,0.004701340445621322,Negative,42,DPA1*02:02,HLA-HD,1.0,-0.0
42,0.3298,0.227,1.454,0.146,-0.115,0.774,0.14599980449261302,Negative,43,DPA1*02:02,HLA-HD,1.0,-0.0
43,0.1405,0.223,0.63,0.528,-0.296,0.577,0.5284415155583471,Negative,44,DPA1*02:02,HLA-HD,1.0,-0.0
44,0.4452,0.235,1.894,0.058,-0.016,0.906,0.05824377516870957,Negative,45,DPA1*02:02,HLA-HD,1.0,-0.0
45,0.4812,0.247,1.946,0.052,-0.003,0.966,0.05160635304241191,Negative,46,DPA1*02:02,HLA-HD,1.0,-0.0
46,0.3851,0.217,1.775,0.076,-0.04,0.811,0.07596610812775316,Negative,47,DPA1*02:02,HLA-HD,1.0,-0.0
47,0.3245,0.244,1.329,0.184,-0.154,0.803,0.18386754206662004,Negative,48,DPA1*02:02,HLA-HD,1.0,-0.0
48,0.1101,0.24,0.459,0.646,-0.36,0.58,0.6461931039438225,Negative,49,DPA1*02:02,HLA-HD,1.0,-0.0
49,0.9088,0.242,3.752,0.0,0.434,1.384,0.0001755748977135156,Negative,50,DPA1*02:02,HLA-HD,1.0,-0.0
50,0.2126,0.223,0.952,0.341,-0.225,0.65,0.34130262319734606,Negative,51,DPA1*02:02,HLA-HD,1.0,-0.0
51,0.3123,0.233,1.34,0.18,-0.145,0.769,0.1803991636643092,Negative,52,DPA1*02:02,HLA-HD,1.0,-0.0
52,0.2614,0.24,1.091,0.275,-0.208,0.731,0.2754527144038851,Negative,53,DPA1*02:02,HLA-HD,1.0,-0.0
53,0.0543,0.227,0.239,0.811,-0.39,0.498,0.8107634552975622,Negative,54,DPA1*02:02,HLA-HD,1.0,-0.0
54,0.4878,0.228,2.144,0.032,0.042,0.934,0.032061271348141185,Negative,55,DPA1*02:02,HLA-HD,1.0,-0.0
55,0.4887,0.237,2.059,0.039,0.024,0.954,0.03948120621459307,Negative,56,DPA1*02:02,HLA-HD,1.0,-0.0
56,0.9703,0.242,4.004,0.0,0.495,1.445,6.229085602811324e-05,Negative,57,DPA1*02:02,HLA-HD,1.0,-0.0
57,0.2838,0.235,1.209,0.226,-0.176,0.744,0.2264829002585621,Negative,58,DPA1*02:02,HLA-HD,1.0,-0.0
58,0.3231,0.231,1.398,0.162,-0.13,0.776,0.1621129991009176,Negative,59,DPA1*02:02,HLA-HD,1.0,-0.0
59,0.7927,0.246,3.222,0.001,0.311,1.275,0.0012732953178365986,Negative,60,DPA1*02:02,HLA-HD,1.0,-0.0
60,0.4934,0.237,2.083,0.037,0.029,0.958,0.037229497658252945,Negative,61,DPA1*02:02,HLA-HD,1.0,-0.0
61,0.4374,0.235,1.862,0.063,-0.023,0.898,0.06266614741514862,Negative,62,DPA1*02:02,HLA-HD,1.0,-0.0
62,0.6375,0.241,2.649,0.008,0.166,1.109,0.00807399721168854,Negative,63,DPA1*02:02,HLA-HD,1.0,-0.0
63,0.8239,0.236,3.491,0.0,0.361,1.286,0.0004806523424117188,Negative,64,DPA1*02:02,HLA-HD,1.0,-0.0
64,0.4329,0.233,1.862,0.063,-0.023,0.889,0.0626525814479499,Negative,65,DPA1*02:02,HLA-HD,1.0,-0.0
65,0.0601,0.24,0.251,0.802,-0.41,0.53,0.8018386853495283,Negative,66,DPA1*02:02,HLA-HD,1.0,-0.0
